title,artist,tempo,chroma_number,zcr_mean,zcr_std,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,mfcc_2_mean,mfcc_5_mean,mfcc_6_mean,spectral_centroid_std,spectral_entropy_std,spectral_spread_std,chroma_7_std,delta chroma_2_std,delta chroma_3_std,delta chroma_9_std,delta chroma_std_std,delta energy_std,delta mfcc_1_std,delta mfcc_3_std,delta mfcc_13_std,delta spectral_centroid_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_spread_std,primary,secondary
city,yamagami takeshi,107.666015625,0.035979012349783,0.027892768,0.004610215,0.018999067,3.192401686,0.076630126,0.137193375,0.072614577,2.630124503,-0.309228143,-0.100851656,0.022740196,0.032011776,0.04126451,0.018228965,0.003951195,0.015333807,0.008292066,0.00996595,0.010610335,0.735713859,0.230819953,0.192183727,0.030083365,0.03426832,0.005674609,0.055874495,4,2
cobra's poison,takanashi yasuharu,99.38401442307692,-0.0202146451299297,0.080667281,0.023315853,0.087464558,3.155232654,0.166921174,0.17457616,0.80174395,1.26043418,0.293259887,0.194614703,0.028428785,0.277706769,0.020128547,0.039530657,0.002347747,0.070089269,0.003366986,0.018621519,0.048194842,0.934676329,0.237794716,0.190635691,0.030599704,0.359029322,0.003389002,0.021343557,1,6
core pride,uverworld,92.28515625,-0.0091569241336766,0.077473392,0.025942243,0.108417445,3.20486708,0.174250674,0.19384606,0.704488223,1.384696038,0.232667026,0.163903831,0.026852731,0.272423565,0.01579755,0.046484515,0.004483118,0.051472892,0.008015405,0.016049092,0.049987042,0.718900652,0.331201568,0.228701485,0.027621486,0.293127642,0.003923577,0.017746895,3,6
cosmic,"ryeowook, bada",184.5703125,-0.010644271194367,0.068615632,0.028135303,0.107847966,3.249814065,0.153889116,0.181200166,0.483118373,1.227495155,-0.001281445,0.026283845,0.033566799,0.276618911,0.019294576,0.028010137,0.012670055,0.029277756,0.008643193,0.012393756,0.032726871,0.615688092,0.360878085,0.213076409,0.030589523,0.242690239,0.003613117,0.020904084,2,5
count on you,"jordin sparks, big time rush",92.28515625,0.0046978567323165,0.071944408,0.041410886,0.083311633,3.161443023,0.177251395,0.195344237,0.572536617,1.702156135,0.055146415,-0.03267061,0.049621008,0.396430936,0.028853984,0.05565986,0.007322439,0.098519192,0.008112506,0.024984101,0.049779257,1.090890045,0.504621414,0.254381238,0.050845728,0.394327853,0.00837671,0.032841226,2,5
crimson lotus,takanashi yasuharu,151.99908088235293,0.0025502426028919,0.076564739,0.02666769,0.075424935,3.090159274,0.174799798,0.187758625,0.746178065,1.11954194,0.280073975,0.310612923,0.03150841,0.279159168,0.022292404,0.044497327,0.001660322,0.119665009,0.00144724,0.027504963,0.038515135,0.81174964,0.242942893,0.199088786,0.030052287,0.310051718,0.007036434,0.020694054,1,6
daisy,stereo dive foundation,184.5703125,-0.0083292084662489,0.043287901,0.017260367,0.068368996,3.208094463,0.107282701,0.14502276,0.361798105,1.759073659,0.069077214,0.237733811,0.022826769,0.210987364,0.026043869,0.056531696,0.005211553,0.035152256,0.005873563,0.012534512,0.021420986,0.774468094,0.321878818,0.216439222,0.025465559,0.20080126,0.00548609,0.033802659,5,6
dawn star and boy's song,sereno,95.703125,0.016556398748708,0.042690975,0.011161829,0.023541558,3.193461857,0.101088254,0.147289976,0.244141622,1.855786549,-0.149701775,0.262433723,0.024481598,0.131256733,0.032344466,0.027500224,0.006299274,0.019405319,0.007809164,0.010456548,0.017915783,0.942247128,0.319017427,0.204487033,0.026115239,0.116951577,0.009479584,0.040649131,2,6
deng ni,a lin,129.19921875,-0.0124413926827661,0.038222405,0.02401689,0.023418378,3.197024636,0.107344577,0.162526272,0.238869888,2.772539352,-0.247428826,-0.120722518,0.036510118,0.265310591,0.030702895,0.028465207,0.007634118,0.017501193,0.020652908,0.010187442,0.009840978,0.812895199,0.371958887,0.215901413,0.037024836,0.240278941,0.008703702,0.037546396,4,6
destiny of love,yiruma,135.99917763157896,0.0274806317561291,0.040343679,0.008322499,0.006872483,3.21390823,0.10033255,0.158785085,0.104121181,2.772719368,-0.265240309,0.079434878,0.023193634,0.04872961,0.03233042,0.01673549,0.005434333,0.017095012,0.002875383,0.008080784,0.004000355,0.767359154,0.26785124,0.203676324,0.028070327,0.03806763,0.007332001,0.041873478,4,2
dive to world,cherryblossom,143.5546875,-0.0026659227607203,0.076929197,0.032110242,0.086630323,3.196291707,0.164416145,0.177211392,0.707347099,1.337189725,0.143025992,0.172206042,0.034291853,0.334171191,0.021867273,0.052325179,0.004703195,0.033775419,0.004841478,0.014673579,0.035403072,0.855832589,0.417926653,0.240926859,0.033328904,0.308428428,0.005378112,0.024619317,3,2
do you hear what i hear,carrie underwood,78.30255681818181,-0.0175520178536419,0.046156615,0.023964537,0.047685438,3.241514855,0.117668007,0.161101027,0.318130691,2.214177458,-0.024056469,-0.058022379,0.031845369,0.199576683,0.025590611,0.026728884,0.006885737,0.022127722,0.013933602,0.010831467,0.013039067,0.559630506,0.281817069,0.210616942,0.031847064,0.180527248,0.006379984,0.032221774,4,2
does he know,one direction,135.99917763157896,-0.0043407849945106,0.074163642,0.033351492,0.075752257,3.204369929,0.175071592,0.200571244,0.591770923,1.519717324,0.088176368,0.25996412,0.039845923,0.320424125,0.020937131,0.05431053,0.006401814,0.030998856,0.013453163,0.015759861,0.045252396,0.997702903,0.360592025,0.218798473,0.036225992,0.315153838,0.004037155,0.021404149,3,2
don't stop,5 seconds of summer,151.99908088235293,-0.0043064643155021,0.066330113,0.021145473,0.088827818,3.136388426,0.136014181,0.153457091,0.63572823,1.372918017,0.150408836,0.205525899,0.022210587,0.237958888,0.018775374,0.051300471,0.004355803,0.050499009,0.006359338,0.01707893,0.053466997,0.846017173,0.310864824,0.21620951,0.023245604,0.257676419,0.003471954,0.022842788,3,2
