title,artist,tempo,chroma_number,zero_crossing_rate,energy_entropy,spectral_centroid,primary,secondary
guang nian zhi wai,gem,89.10290948275862,0.0074647086420692,0.0425071180788605,3.1804941504553503,0.123817721635303,6,1
half a heart,one direction,151.99908088235293,-0.0113125864858893,0.0600359855577641,3.194164105193553,0.1543824968309606,5,6
happily,one direction,117.45383522727272,0.0163869896699083,0.0680958433014354,3.204340319441732,0.1538142230961924,3,2
happy's theme,takanashi yasuharu,112.34714673913044,0.0068229321405165,0.0368268168547305,3.122695795772546,0.1150005857386421,2,4
haru,super junior,92.28515625,-0.0225150386360807,0.07256148522147,3.172592529554915,0.1706642191861715,2,6
heart of courage,two steps from hell,135.99917763157896,-0.0240977265654113,0.0303894277983057,3.152818735314877,0.09405804635043,1,6
heartseeker,"miraie, imeiden",161.4990234375,-0.0064017572187172,0.0779089715928121,3.1851601148211057,0.1715500291654662,3,2
hello,omfg,103.359375,0.0010392377516931,0.0966223995681019,3.148494568019064,0.2149522296886448,3,6
hello,teen top,99.38401442307692,-0.0170541528602703,0.0910739300125103,3.1810961029509697,0.1991367606507423,3,2
here we go,super junior,117.45383522727272,0.0006970009197766,0.085362687394707,3.174748918110568,0.1853308392527265,2,3
"hey, soul sister",train,95.703125,0.0295158115118136,0.0694645948655207,3.164180512229467,0.1559719500183199,2,5
holding an umbrella,hangeng,112.34714673913044,-0.0323238117210389,0.0472989775702747,3.210741959211029,0.1347612319983988,4,6
holiday,henry,123.046875,0.030490049127141,0.0691986483442028,3.1513925528015867,0.1808079029196793,3,2
hoodie,hey violet,95.703125,0.005097096529713,0.059011463109629,3.150915527859917,0.1487628577589776,5,6
houki boshi,younha,78.30255681818181,0.018821466869468,0.0860918623622798,3.2464564096698787,0.1704590215104575,3,2
hua shui yue,vk,73.828125,-0.020383372039554,0.0394595552538108,3.1798062427126297,0.0976330195604245,4,2
hurry up and save me,tiffany giardina,143.5546875,0.0042563952750028,0.0802163063205239,3.1930605618770613,0.1530885254736113,1,3
i,"taeyeon, verbal jint",89.10290948275862,0.0155575893025282,0.0728954601646545,3.220742179589646,0.1717243612501171,5,2
i love you,omfg,103.359375,-0.0129582323648741,0.0890885908344163,3.2187563984745093,0.1963612844070677,3,6
i wish,one direction,123.046875,0.0042887637420858,0.0767690898702695,3.21901545471491,0.1676506294130757,2,6
in love,july,172.265625,-0.015880424965318,0.0287217124172449,3.132089558424869,0.1043443612400699,5,2
